"","Burger","Address","City","Province","ZipCode","Restaurant.x","Description","Price.x","Chef.x","Phone.x","Website.x","Twitter.x","Instagram","Facebook","Lon","Lat","Photo.x","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Restaurant.y","Descript_1","Price.y","Chef.y","Phone.y","Website.y","Twitter.y","Photo.y","latitude","longitude","newLat","newLon",,,,,,,,,,,,,,,,
"11","Lamb Burger","33 King St. West","Dundas","ON","L9H 1T5","Collins Brewhouse","8 oz. handmade patty of ground lamb, topped with rosemary roasted sweet pepper relish, finished off with triple cream brie and a blueberry compote. Comes paired with any of our delicious side dishes.","$18","Pat Lindley","(905) 628-9995","http://www.collinsbrewhouse.ca/","https://twitter.com/collinsbrew","https://www.instagram.com/collinsbrewhouse/","https://www.facebook.com/TheCollinsBrewhouse/","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Collins-Brewhouse.jpg",NA,"8 oz. handmade patty of ground lamb, topped with rosemary roasted sweet pepper relish, finished off with triple cream brie and a blueberry compote. Comes paired with any of our delicious side dishes.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Collins Brewhouse",NA,"$18","Pat Lindley","(905) 628-9995","http://www.collinsbrewhouse.ca/","https://twitter.com/collinsbrew","http://novemburger.ca/wp-content/uploads/2016/10/Collins-Brewhouse.jpg",4790950.65,584801.3537,43.2665969,-79.9550738,,,,,,,,,,,,
"12","Los Lobos","1400 Upper James St.","Hamilton","ON","L9B 1K2","Beaver and Bulldog","Fresh ground angus sirloin, avocado spread, roasted peppers, tortilla chips, red onion, chipotle crema, and fresh cilantro on a brioche bun.","$13","Peter Brittain","(905) 385-9998","http://www.beaverandbulldoghamilton.com/","","","https://www.facebook.com/beaverandbulldoghamilton","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Beaver-and-Bulldog.jpg",NA,"Fresh ground angus sirloin, avocado spread, roasted peppers, tortilla chips, red onion, chipotle crema, and fresh cilantro on a brioche bun.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Beaver and Bulldog",NA,"$13","Peter Brittain","(905) 385-9998","http://www.beaverandbulldoghamilton.com/","","http://novemburger.ca/wp-content/uploads/2016/10/Beaver-and-Bulldog.jpg",4784690.65,590083.2524,43.209625,-79.8910243,,,,
"13","Man Bun"," 324 James St. North","Hamilton","ON","L8L 1H2","Architect Hair Design","","$7, $4.50 with haircut, Free if you cut off your man bun","Matthew Pigeon","(905)-524-2724","","https://twitter.com/ArchitectHD","https://www.instagram.com/architecthairdesign/","https://www.facebook.com/architecthairdesign","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Architect-Hair-Design.jpg",NA,"",NA,NA,NA,NA,-1,0,-1,NA,NA,"Architect Hair Design",NA,"$7, $4.50 with haircut, Free if you cut off your man bun","Matthew Pigeon","(905)-524-2724","","https://twitter.com/ArchitectHD","http://novemburger.ca/wp-content/uploads/2016/10/Architect-Hair-Design.jpg",4790805.979,592095.3863,43.2644382,-79.8652372,,,,,,,,,,,,
"14","Meatball Burger","55 York Blvd","Hamilton","ON","L8R 3K1","Street Eats","Pork Meatballs braised in our house made tomato sauce, Mozzarella, Arugula, and preserved Italian chillies.","$9.50","Matthew Pigeon","(416) 723-6634","http://www.eatinc.ca/","http://www.twitter.com/Eat_ind_inc","http://www.instagram.com/Eat_ind_inc","http://www.facebook.com/eatindustriesinc","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Street-Eats.jpg",NA,"Pork Meatballs braised in our house made tomato sauce, Mozzarella, Arugula, and preserved Italian chillies.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Street Eats",NA,"$9.50","Matthew Pigeon","(416) 723-6634","http://www.eatinc.ca/","http://www.twitter.com/Eat_ind_inc","http://novemburger.ca/wp-content/uploads/2016/10/Street-Eats.jpg",4790189.025,591674.8326,43.2589351,-79.8705208,,,,,,,,,,
"15","Mediterranean Salmon Burger","384 Wilson St. East","Ancaster","ON","L9G 2C2","Coach and Lantern","Smoked salmon patty topped with a tzatziki salsa on a kaiser with herbed fries.","$16","Andrew Yates","(905) 304-7822","http://www.coachandlantern.ca/","https://twitter.com/CoachandLantern","","https://www.facebook.com/coachandlantern/","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Coach-and-Lantern-2.jpg",NA,"Smoked salmon patty topped with a tzatziki salsa on a kaiser with herbed fries.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Coach and Lantern",NA,"$16","Andrew Yates","(905) 304-7822","http://www.coachandlantern.ca/","https://twitter.com/CoachandLantern","http://novemburger.ca/wp-content/uploads/2016/10/Coach-and-Lantern-2.jpg",4786648.127,583184.8143,43.2280404,-79.9756391,,,,,,,,,,,,,,,,
"16","Mulburger","193 James St N","Hamilton","ON","L8R 2L2","Mulberry Street Coffeehouse","Homemade vegan black bean and sweet potato burger on a homemade bun! Topped with avocado, sprouts, tomatoes, and caramelized onions with a homemade tahini sauce. Vegan with GF available.","$8.45","Paula Koshul","(905) 963-1365","http://www.mulberrycoffeehouse.com/","http://www.twitter.com/mulberrycoffee","http://www.instagram.com/Mulberrycoffee","http://www.facebook.com/mulberrycoffee","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Mulberry.jpg",NA,"Homemade vegan black bean and sweet potato burger on a homemade bun! Topped with avocado, sprouts, tomatoes, and caramelized onions with a homemade tahini sauce. Vegan with GF available.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Mulberry Street Coffeehouse",NA,"$8.45","Paula Koshul","(905) 963-1365","http://www.mulberrycoffeehouse.com/","http://www.twitter.com/mulberrycoffee","http://novemburger.ca/wp-content/uploads/2016/10/Mulberry.jpg",4790519.178,591954.2078,43.2618734,-79.8670243,,,,,,,,,,
"17","Nothing Beets Bliss","312 Dundas St. East","Waterdown","ON","L0R 2H0","Bliss Kitchen","Like all foods at Bliss Kitchen we created this juicy burger from scratch, using only unprocessed, whole foods. We slow roasted beautiful purple beets, tossed lightly in organic virgin coconut oil, Himalayan Pink salt & cracked pepper. We added organic quinoa, ground pumpkin seed, and caramelized onion. The burger is nestled between our baked in-house organic spelt bun, with smoked avocado mash, cranberry compote, almond feta, massaged kale & baked sweet potato. Served with hand-cut potato wedges, finished with Brazil nut parmesan and hemp hearts.","$16.50","Broghen Culver-Brush & Denis Serifovic","(905) 689-2547","http://www.blisskitchen.ca/","","https://www.instagram.com/Bliss_Kitchen/","https://www.facebook.com/BlissGrowsHere/","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Bliss-Kitchen.jpg",NA,"Like all foods at Bliss Kitchen we created this juicy burger from scratch, using only unprocessed, whole foods. We slow roasted beautiful purple beets, tossed lightly in organic virgin coconut oil, Himalayan Pink salt & cracked pepper. We added organic q",NA,NA,NA,NA,-1,0,-1,NA,NA,"Bliss Kitchen",NA,"$16.50","Broghen Culver-Brush & Denis Serifovic","(905) 689-2547","http://www.blisskitchen.ca/","","http://novemburger.ca/wp-content/uploads/2016/10/Bliss-Kitchen.jpg",4798454.792,589791.8553,43.333578,-79.8923657,
"18","Oh, You Fancy Huh","150 James St S","Hamilton","ON","L8P 3A2","Uno Mas","“Oh, You Fancy Huh” black truffle pecorino, Swiss raclette, charred peppers, truffle aioli & Shoot Boss micro greens","$12","Manny Ferreira","(289) 778-2667","http://www.unomasbar.ca/","http://www.twitter.com/unomasbar_","http://www.instagram.com/unomasbar","http://www.facebook.com/UnoMasBarHamilton/","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Uno-Mas.jpg",NA,"â€œOh, You Fancy Huhâ€ black truffle pecorino, Swiss raclette, charred peppers, truffle aioli & Shoot Boss micro greens",NA,NA,NA,NA,-1,0,-1,NA,NA,"Uno Mas",NA,"$12","Manny Ferreira","(289) 778-2667","http://www.unomasbar.ca/","http://www.twitter.com/unomasbar_","http://novemburger.ca/wp-content/uploads/2016/10/Uno-Mas.jpg",4789448.355,591624.6857,43.252273,-79.8712617,,,,,,,
"19","One & Only Hawaiian Hockey Burger","610 South Service Rd","Hamilton","ON","L8E 4G3","Don Cherry’s Sports Grill","Fresh made 8 oz. patty with pulled pork, grilled pineapple, jalapeños, crispy onions, lettuce, tomato, onion, Don’s ultimate BBQ sauce and topped with a deep-fried pickle garnish.","$16","Mike Irwin","(905) 643-6100","https://www.doncherryssportsgrill.com/","https://twitter.com/DonCherrys_SC","","https://www.facebook.com/doncherrysstoneycreek/","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Don-Cherrys.jpg",NA,"Fresh made 8 oz. patty with pulled pork, grilled pineapple, jalapeÃ±os, crispy onions, lettuce, tomato, onion, Donâ€™s ultimate BBQ sauce and topped with a deep-fried pickle garnish.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Don Cherryâ€™s Sports Grill",NA,"$16","Mike Irwin","(905) 643-6100","https://www.doncherryssportsgrill.com/","https://twitter.com/DonCherrys_SC","http://novemburger.ca/wp-content/uploads/2016/10/Don-Cherrys.jpg",4786987.951,605641.3569,43.2282896,-79.6991004,,
"20","Our Big Fat Greek Burger","1342 Main St E,","Hamilton","ON","L8K 1B5","Rankins Restaurant","Rankins’ Greek spinach and lamb burger is made in-house with our traditional secret recipe. Smothered in tzatziki sauce and topped with red onion, tomatoes, sliced black olives and crumbled feta. You’ll think you’re in Mykonos!","$13.99","Louise Rankin","(905) 545-1579","http://www.rankinsrestaurant.ca/","http://www.twitter.com/rankins1342main","","","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Rankins.jpg",NA,"Rankinsâ€™ Greek spinach and lamb burger is made in-house with our traditional secret recipe. Smothered in tzatziki sauce and topped with red onion, tomatoes, sliced black olives and crumbled feta. Youâ€™ll think youâ€™re in Mykonos!",NA,NA,NA,NA,-1,0,-1,NA,NA,"Rankins Restaurant",NA,"$13.99","Louise Rankin","(905) 545-1579","http://www.rankinsrestaurant.ca/","http://www.twitter.com/rankins1342main","http://novemburger.ca/wp-content/uploads/2016/10/Rankins.jpg",4788221.053,596411.3706,43.2406269,-79.8125206,,,,,,,,,,,
"21","Ramen Burger","275 James St. North","Hamilton","ON","L8R 3P1","Bar IZAKAYA","Crisp noodle bun, pork belly chashu, Napa slaw, chilli aioli, enoki mushrooms and kizami ginger.","$12","Matthew Pigeon","(905) 972-8989","http://www.eatinc.ca/","https://twitter.com/eat_ind_inc","https://www.instagram.com/eat_izakaya/","https://www.facebook.com/eatizakaya","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Bar-Izakaya.jpg",NA,"Crisp noodle bun, pork belly chashu, Napa slaw, chilli aioli, enoki mushrooms and kizami ginger.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Bar IZAKAYA",NA,"$12","Matthew Pigeon","(905) 972-8989","http://www.eatinc.ca/","https://twitter.com/eat_ind_inc","http://novemburger.ca/wp-content/uploads/2016/10/Bar-Izakaya.jpg",4790729.06,592006.367,43.2637566,-79.8663467,,,,,,,,
"22","Salvador Dali","339 York Blvd","Hamilton","ON","L8R 3K5","Stonewalls Restaurant","An 8 oz. hand-pressed chorizo sausage patty with a goat cheese stuffed grilled pineapple ring. Served with fresh arugula, tomato, onion, and a tequila lime yogurt sauce.","$14.99","Rob Mahoney","(905) 577-0808","http://www.stonewallshamilton.com/","","","http://www.facebook.com/stonewallsevents","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Stonewalls-2.jpg",NA,"An 8 oz. hand-pressed chorizo sausage patty with a goat cheese stuffed grilled pineapple ring. Served with fresh arugula, tomato, onion, and a tequila lime yogurt sauce.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Stonewalls Restaurant",NA,"$14.99","Rob Mahoney","(905) 577-0808","http://www.stonewallshamilton.com/","","http://novemburger.ca/wp-content/uploads/2016/10/Stonewalls-2.jpg",4790634.446,591023.9718,43.2630241,-79.8784646,,,,,,,,,,
"23","Sasso Burger","1595 Upper James St","Hamilton","ON","L9B","Sasso Pizza Market & Bar","8 oz. Jepson’s ground beef topped with fire roasted mushrooms, lettuce & topped with a prosciutto Grana Podano cheese sauce and served with your choice of 2 sides","$16","Mark Farrugia & Phil Van Beveren","(905) 526-4848","http://sassopizzas.ca/","http://www.twitter.com/sassopizzas","http://www.instagram.com/sassopizzas","http://www.facebook.com/sassopizzaandmarketbar","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Sasso-2.jpg",NA,"8 oz. Jepsonâ€™s ground beef topped with fire roasted mushrooms, lettuce & topped with a prosciutto Grana Podano cheese sauce and served with your choice of 2 sides",NA,NA,NA,NA,-1,0,-1,NA,NA,"Sasso Pizza Market & Bar",NA,"$16","Mark Farrugia & Phil Van Beveren","(905) 526-4848","http://sassopizzas.ca/","http://www.twitter.com/sassopizzas","http://novemburger.ca/wp-content/uploads/2016/10/Sasso-2.jpg",4783957.264,590077.1516,43.203023,-79.891219,,,,,,,,,,,,,,
"24","Seoul Rebel","301 James St. North","Hamilton","ON","L8L 1H3","Jack & Lois","A sweet and savoury ground sirloin Bulgogi beef patty, served on a bed of Napa cabbage and cucumber slaw, topped with maple caramelized pork belly and roasted seaweed. Finished off with a drizzle of garlic aioli on a glazed kaiser.","$17","Matt Greenland","(289) 389-5647","http://www.jackandlois.com/","https://twitter.com/jackandlois1","https://www.instagram.com/therealjackandlois/","https://www.facebook.com/Jackandlois/","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Jack-Lois.jpg",NA,"A sweet and savoury ground sirloin Bulgogi beef patty, served on a bed of Napa cabbage and cucumber slaw, topped with maple caramelized pork belly and roasted seaweed. Finished off with a drizzle of garlic aioli on a glazed kaiser.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Jack & Lois",NA,"$17","Matt Greenland","(289) 389-5647","http://www.jackandlois.com/","https://twitter.com/jackandlois1","http://novemburger.ca/wp-content/uploads/2016/10/Jack-Lois.jpg",4790751.57,592043.4914,43.2639547,-79.8658856,,,,,,,,,,,,
"25","Serve Supreme","107 King St E","Hamilton","ON","L8N 1A9","SERVE Ping Pong","Can’t decide between a burger or poutine? We made the decision for you! We’re serving up a 6 oz. Angus beef burger topped with savoury Ontario cheese curds and shoestring potato crisps smothered in our housemade veal gravy, with lettuce, tomato, and aioli on a kaiser bun. Bonus? It still comes with a side of fries!","$14","Stewart Byfield","(289) 396-6916","http://servepingpong.com/","http://www.twitter.com/servepingpong","http://www.instagram.com/servepingpong","http://www.facebook.com/servepingpong","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/SERVE-Ping-Pong.jpg",NA,"Canâ€™t decide between a burger or poutine? We made the decision for you! Weâ€™re serving up a 6 oz. Angus beef burger topped with savoury Ontario cheese curds and shoestring potato crisps smothered in our housemade veal gravy, with lettuce, to",NA,NA,NA,NA,-1,0,-1,NA,NA,"SERVE Ping Pong",NA,"$14","Stewart Byfield","(289) 396-6916","http://servepingpong.com/","http://www.twitter.com/servepingpong","http://novemburger.ca/wp-content/uploads/2016/10/SERVE-Ping-Pong.jpg",4789843.287,592066.6602,43.2557747,-79.865752,,,,,,,,,,,
"26","Smoked Mozza Spicy Peach Burg","554 James St. North","Hamilton","ON","L8L 1J5","Fisher’s Eatery and Sports Lounge","Fresh-made beef patty topped with our in-house spicy peach chutney, bacon, caramelized onions and smoked mozzarella on a toasted gourmet bun. Garnished with a deep-fried pickle. Served with your choice of salad, fries, or coleslaw.","$16","Dannial Zubas & Chef Jessie Hill","(905) 526-9622","http://www.fisherspier.com/","https://twitter.com/fisherspier","https://www.instagram.com/fisherseateryandsportslounge/","https://www.facebook.com/fishers.hamilton","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/Fishers.jpg",NA,"Fresh-made beef patty topped with our in-house spicy peach chutney, bacon, caramelized onions and smoked mozzarella on a toasted gourmet bun. Garnished with a deep-fried pickle. Served with your choice of salad, fries, or coleslaw.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Fisherâ€™s Eatery and Sports Lounge",NA,"$16","Dannial Zubas & Chef Jessie Hill","(905) 526-9622","http://www.fisherspier.com/","https://twitter.com/fisherspier","http://novemburger.ca/wp-content/uploads/2016/10/Fishers.jpg",4791585.568,592324.6273,43.2714287,-79.8622824,,,,,,,,
"27","Stawaf Novemburger","22 Barton St E","Hamilton","ON","L8L 2V5","The Brew Cafe and Bar","A waffle burger which includes two 3.5 oz patties served with arugula, sweet vidalia onion, candy bacon, feta cheese and house-made strawberry ketchup stacked between a waffle.","$14","Eric","(905) 962-0782","http://www.brewcafe.ca/","http://www.twitter.com/TheBrewCafeBar","http://www.instagram.com/TheBrewCafeBar","http://www.facebook.com/thebrewcafeandbar","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/The-Brew.jpg",NA,"A waffle burger which includes two 3.5 oz patties served with arugula, sweet vidalia onion, candy bacon, feta cheese and house-made strawberry ketchup stacked between a waffle.",NA,NA,NA,NA,-1,0,-1,NA,NA,"The Brew Cafe and Bar",NA,"$14","Eric","(905) 962-0782","http://www.brewcafe.ca/","http://www.twitter.com/TheBrewCafeBar","http://novemburger.ca/wp-content/uploads/2016/10/The-Brew.jpg",4790718.568,592111.2818,43.2636493,-79.865056,,,,,,,,,,
"28","Sunday Brunch","1012 King St W","Hamilton","ON","L8S 1L4","The Bean Bar","Sunny side up egg with peameal bacon and Hollandaise sauce on your choice of sirloin beef, pulled pork, crispy chicken breast, grilled chicken breast, portobello mushroom, or a garden vegetarian patty.","$14","Jarret Kramer","(905) 524-2326","http://www.beanbar.ca/","http://www.twitter.com/BeanBar1012","http://www.instagram.com/BeanBar1012","http://www.facebook.com/beanbar1012","",NA,"http://novemburger.ca/wp-content/uploads/2016/10/The-Bean-Bar.jpg",NA,"Sunny side up egg with peameal bacon and Hollandaise sauce on your choice of sirloin beef, pulled pork, crispy chicken breast, grilled chicken breast, portobello mushroom, or a garden vegetarian patty.",NA,NA,NA,NA,-1,0,-1,NA,NA,"The Bean Bar",NA,"$14","Jarret Kramer","(905) 524-2326","http://www.beanbar.ca/","http://www.twitter.com/BeanBar1012","http://novemburger.ca/wp-content/uploads/2016/10/The-Bean-Bar.jpg",4790532.985,588826.2005,43.2623729,-79.9055555,,,,,,
